epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.179,1.19917,4.37927,1.58626,0.52907,0.09265,0.07477,0.04997,1.11923,4.01985,1.4898,0.0001323,0.0001323,0.0001323
2,313.927,1.0993,3.5957,1.50336,0.46256,0.17935,0.13911,0.08895,1.16647,3.61321,1.52879,0.000213038,0.000213038,0.000213038
3,489.875,1.07484,3.20688,1.46641,0.39548,0.40359,0.27474,0.18816,1.11025,3.22342,1.4768,0.000240976,0.000240976,0.000240976
4,648.7,1.03148,2.84666,1.42296,0.5379,0.37516,0.37044,0.24879,1.11233,2.93083,1.4284,0.0001624,0.0001624,0.0001624
5,806.476,0.97384,2.55048,1.36942,0.46333,0.48674,0.44313,0.31241,1.04776,2.58137,1.35836,8.32e-05,8.32e-05,8.32e-05
