epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.467,1.22039,3.95459,1.56586,0.49786,0.08954,0.05718,0.03364,1.25119,4.1267,1.61137,0.0001323,0.0001323,0.0001323
2,425.047,1.22628,3.30341,1.54724,0.43334,0.23701,0.11329,0.06859,1.32871,3.63513,1.72007,0.000260374,0.000260374,0.000260374
3,669.23,1.20849,2.9887,1.53204,0.45578,0.25633,0.18075,0.10531,1.31377,3.43053,1.71417,0.000383167,0.000383167,0.000383167
4,920.987,1.19904,2.78608,1.51222,0.52575,0.32746,0.26301,0.17197,1.27492,3.06432,1.63612,0.00037624,0.00037624,0.00037624
